goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateMoves20-8   	 4598491	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4614477	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4632427	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4580239	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4598494	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4633006	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4632592	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4580151	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4615383	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4597704	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4632390	       261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4580914	       265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4614820	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4633982	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4615500	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4615342	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4633249	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4615430	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4668662	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4615386	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4633225	       261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4528352	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4510554	       283 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4347789	       283 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4580176	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4511982	       264 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4332078	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4580330	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4545445	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4195135	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4528323	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4151800	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4544622	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5581465	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5769302	       204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5853672	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5825281	       204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5881077	       201 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5661717	       204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5881083	       205 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5881101	       204 ns/op	       0 B/op	       0 allocs/op
