goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateMoves20-8   	 4444450	       273 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4166665	       297 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4477612	       283 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4460180	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4137972	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4495171	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4461009	       265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4596944	       263 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4598320	       275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4428043	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4180851	       275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4026853	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4512008	       273 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4511272	       265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4427258	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4563568	       275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4396422	       278 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4529169	       263 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4705971	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4669509	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4494379	       265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4460967	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4476878	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4687735	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4724421	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4562780	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4494403	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4597704	       264 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4668368	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4668406	       270 ns/op	       0 B/op	       0 allocs/op
