goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves/20-8         	 4412416	       282 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4411039	       279 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4240954	       277 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4478366	       281 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4255364	       275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4477574	       281 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4285720	       281 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4362921	       274 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4477666	       277 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4379622	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4477611	       274 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4254794	       278 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4477639	       282 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4279850	       275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4313476	       276 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4739311	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4724404	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705005	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4668648	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4761951	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4687554	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4596902	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4800019	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4686915	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4724470	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4743112	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4723557	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4704999	       253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4687501	       253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705856	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705837	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705548	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4687495	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705881	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4686038	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5882770	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5968880	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5911431	       203 ns/op	       0 B/op	       0 allocs/op
