goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves20-8   	 4528561	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4444446	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4511281	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4428045	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4477730	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4493692	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4427278	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4527752	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4443686	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4493696	       276 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4348395	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4209872	       289 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4269735	       273 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4347867	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4378802	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4688392	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4780885	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4651378	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4761864	       253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4686686	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4780869	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4686673	       253 ns/op	       0 B/op	       0 allocs/op
