goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateMoves20-8   	 4511416	       265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4687568	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4650582	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 3947955	       261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4670108	       283 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4512093	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4510681	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4687588	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4687693	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4705470	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4669460	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4650632	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4651386	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4668589	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4634058	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4632637	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4669482	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4669228	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4494414	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4615371	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4528558	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4478124	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4669288	       261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4493810	       261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4686661	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4477796	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4615300	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4544883	       265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4545602	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4597068	       282 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4363521	       263 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4379598	       264 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4651135	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5824974	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5062308	       215 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5778235	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 6030553	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5826512	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5968824	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5824348	       212 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5769296	       206 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5881386	       207 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5742862	       204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5909937	       199 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5999048	       210 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5742837	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5881447	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5970134	       225 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5614899	       207 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5826583	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5239128	       211 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5309752	       223 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5769321	       214 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10084117	       129 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 8955262	       129 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9600022	       120 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9920576	       117 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10435027	       115 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10255332	       118 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10167156	       122 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10256619	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10255585	       116 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10432042	       118 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10169482	       118 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10081483	       117 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10434446	       117 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10256743	       122 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10019766	       118 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10171879	       117 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10340931	       116 ns/op	       0 B/op	       0 allocs/op
