goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves20-8   	 4477098	       288 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4460424	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4527492	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4332092	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4563511	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4580376	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4428764	       275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4412011	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4494344	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4460740	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4347063	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4445172	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4362981	       275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4316584	       274 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4461085	       282 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4363636	       274 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4597692	       274 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4410966	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4559716	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4580154	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4395534	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4379548	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4396530	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4563562	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4494393	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4477135	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4476842	       280 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4511268	       264 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4562137	       268 ns/op	       0 B/op	       0 allocs/op
