goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves/10-8         	 3727029	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3715161	       325 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3715581	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3647546	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3703723	       329 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3703710	       324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3603097	       335 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3428550	       360 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3278461	       357 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3166286	       357 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3636040	       326 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3635842	       329 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3613917	       330 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4332151	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4427991	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4493805	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4461098	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4461184	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4495208	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4443655	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4527505	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4527518	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4428074	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4395621	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4270150	       275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4331386	       275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4460976	       274 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4477054	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4461014	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4411836	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4410823	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4545445	       265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4460395	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4667037	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4723479	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4669138	       253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4686889	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4633221	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4668357	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4724494	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4285162	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705874	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4195837	       279 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4651118	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4650531	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4632550	       265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4632936	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4563075	       261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4528154	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4668594	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4761024	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4742212	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4528400	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6059179	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5741480	       212 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6000168	       199 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6030108	       207 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5911297	       197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6091345	       196 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6120986	       195 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6184393	       199 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6185588	       196 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6184472	       195 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6152535	       195 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6122470	       200 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5969136	       196 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6185917	       196 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6216140	       196 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6216147	       195 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6120918	       195 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6091348	       195 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6217616	       195 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6123944	       196 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10709934	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10710804	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10619571	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10526379	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10695186	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10709866	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10526167	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10711416	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10718553	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10718582	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10713577	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10701309	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10619355	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10714256	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10523204	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10710010	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10709839	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10616264	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10714400	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10714782	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkPerft-8                         	       1	7217011500 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7221047600 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7037999200 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7195214500 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7214133900 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7175998500 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7033000900 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7209614200 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7159047600 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7138207000 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7209983600 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7168033500 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7153000700 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7149017100 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7201422100 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7183047100 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7174046100 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7161002000 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7156983300 ns/op	     816 B/op	       5 allocs/op
BenchmarkPerft-8                         	       1	7185047800 ns/op	     816 B/op	       5 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19811788100 ns/op	633076848 B/op	20427586 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19819262000 ns/op	633076768 B/op	20427586 allocs/op
BenchmarkBestMoveToDepth-8               	       1	21581451300 ns/op	633077504 B/op	20427594 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19830795300 ns/op	633076672 B/op	20427585 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19837712900 ns/op	633076896 B/op	20427588 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19913483000 ns/op	633076944 B/op	20427589 allocs/op
BenchmarkBestMoveToDepth-8               	       1	20278826000 ns/op	633077600 B/op	20427596 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19796582200 ns/op	633077424 B/op	20427591 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19859245200 ns/op	633076656 B/op	20427586 allocs/op
BenchmarkBestMoveToDepth-8               	       1	21282472200 ns/op	633077808 B/op	20427595 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19740818900 ns/op	633077056 B/op	20427588 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19715635400 ns/op	633077088 B/op	20427587 allocs/op
BenchmarkBestMoveToDepth-8               	       1	20343088300 ns/op	633077712 B/op	20427596 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19733265700 ns/op	633078256 B/op	20427603 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19722173800 ns/op	633077424 B/op	20427591 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19774500800 ns/op	633077504 B/op	20427591 allocs/op
BenchmarkBestMoveToDepth-8               	       1	20690893400 ns/op	633076864 B/op	20427587 allocs/op
BenchmarkBestMoveToDepth-8               	       1	20359945600 ns/op	633077024 B/op	20427589 allocs/op
BenchmarkBestMoveToDepth-8               	       1	19915576400 ns/op	633079408 B/op	20427613 allocs/op
BenchmarkBestMoveToDepth-8               	       1	20010376100 ns/op	633078448 B/op	20427603 allocs/op
PASS
ok  	github.com/GeorgeBills/chess/m/v2/engine	797.289s
