goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves/10-8         	 3603093	       328 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3625363	       339 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3681129	       331 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3487914	       347 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3561336	       338 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3659052	       335 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3603547	       329 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3714913	       343 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3571448	       326 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3692413	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3624912	       333 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3614920	       333 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3726084	       320 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4477639	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4411814	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4494638	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4527864	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4527699	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4347860	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4363052	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4395672	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4527586	       271 ns/op	       0 B/op	       0 allocs/op
